Oly contig	SPID	SPID evalue	Gene Name
Ostrea_lur_contig17064	O08584	6.00E-58	KLF6_MOUSE Krueppel-like factor 6 OS=Mus musculus GN=Klf6 PE=2 SV=3
Ostrea_lur_contig17071	Q3UJP5	7.00E-34	CH037_MOUSE Uncharacterized protein C8orf37 homolog OS=Mus musculus PE=2 SV=1
Ostrea_lur_contig17078	Q9Y2U8	4.00E-16	MAN1_HUMAN Inner nuclear membrane protein Man1 OS=Homo sapiens GN=LEMD3 PE=1 SV=2
Ostrea_lur_contig17079	Q9CZR2	1.00E-43	NALD2_MOUSE N-acetylated-alpha-linked acidic dipeptidase 2 OS=Mus musculus GN=Naalad2 PE=1 SV=2
Ostrea_lur_contig1708	A8XWD1	2.00E-08	MTX1_CAEBR Metaxin-1 homolog OS=Caenorhabditis briggsae GN=mtx-1 PE=3 SV=1
Ostrea_lur_contig17080	Q5VUA4	2.00E-16	ZN318_HUMAN Zinc finger protein 318 OS=Homo sapiens GN=ZNF318 PE=1 SV=2
Ostrea_lur_contig17081	Q4R7L5	8.00E-43	DDX1_MACFA ATP-dependent RNA helicase DDX1 OS=Macaca fascicularis GN=DDX1 PE=2 SV=1
Ostrea_lur_contig17083	Q8BSL4	4.00E-106	HS3S5_MOUSE Heparan sulfate glucosamine 3-O-sulfotransferase 5 OS=Mus musculus GN=Hs3st5 PE=2 SV=1
Ostrea_lur_contig17087	P12847	2.00E-17	MYH3_RAT Myosin-3 OS=Rattus norvegicus GN=Myh3 PE=2 SV=1
Ostrea_lur_contig1709	Q9VXF1	1.00E-36	PP2B3_DROME Serine/threonine-protein phosphatase 2B catalytic subunit 3 OS=Drosophila melanogaster GN=CanA-14F PE=1 SV=4
Ostrea_lur_contig17092	Q5SSM3	2.00E-17	RICH2_MOUSE Rho GTPase-activating protein RICH2 OS=Mus musculus GN=Rich2 PE=2 SV=1
Ostrea_lur_contig17094	Q8C0Q4	2.00E-49	NEK11_MOUSE Serine/threonine-protein kinase Nek11 OS=Mus musculus GN=Nek11 PE=2 SV=1
Ostrea_lur_contig17095	Q92076	4.00E-73	DPOG1_CHICK DNA polymerase subunit gamma-1 (Fragment) OS=Gallus gallus GN=POLG PE=2 SV=1
Ostrea_lur_contig17103	P00184	2.00E-38	CP1A1_MOUSE Cytochrome P450 1A1 OS=Mus musculus GN=Cyp1a1 PE=1 SV=2
Ostrea_lur_contig17105	Q4H4B6	1.00E-40	SCRIB_DANRE Protein scribble homolog OS=Danio rerio GN=scrib PE=1 SV=1
Ostrea_lur_contig17107	Q5FVB0	7.00E-14	ATX10_XENTR Ataxin-10 OS=Xenopus tropicalis GN=atxn10 PE=2 SV=1
Ostrea_lur_contig17108	Q28739	4.00E-13	BPI_RABIT Bactericidal permeability-increasing protein (Fragment) OS=Oryctolagus cuniculus GN=BPI PE=2 SV=1
Ostrea_lur_contig1711	Q9UBV8	2.00E-52	PEF1_HUMAN Peflin OS=Homo sapiens GN=PEF1 PE=1 SV=1
Ostrea_lur_contig17112	Q04164	2.00E-25	SAS_DROME Putative epidermal cell surface receptor OS=Drosophila melanogaster GN=sas PE=1 SV=2
Ostrea_lur_contig17113	Q3T106	3.00E-26	"SFRS7_BOVIN Splicing factor, arginine/serine-rich 7 OS=Bos taurus GN=SFRS7 PE=2 SV=1"
Ostrea_lur_contig17114	Q96RW7	8.00E-07	HMCN1_HUMAN Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2
Ostrea_lur_contig17115	Q86KU2	2.00E-32	"SYVC_DICDI Probable valyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=valS1 PE=3 SV=1"
Ostrea_lur_contig1712	Q5FVP5	9.00E-09	WDR89_RAT WD repeat-containing protein 89 OS=Rattus norvegicus GN=Wdr89 PE=2 SV=1
Ostrea_lur_contig17125	Q96F63	9.00E-24	CCD97_HUMAN Coiled-coil domain-containing protein 97 OS=Homo sapiens GN=CCDC97 PE=1 SV=1
Ostrea_lur_contig17129	Q6PG95	1.00E-14	CRML_MOUSE Protein cramped-like OS=Mus musculus GN=Cramp1l PE=2 SV=2
Ostrea_lur_contig17131	P28749	7.00E-78	RBL1_HUMAN Retinoblastoma-like protein 1 OS=Homo sapiens GN=RBL1 PE=1 SV=3
Ostrea_lur_contig17136	Q91XV4	1.00E-79	DCXR_MESAU L-xylulose reductase OS=Mesocricetus auratus GN=DCXR PE=1 SV=1
Ostrea_lur_contig17138	P42700	3.00E-21	RO60_XENLA 60 kDa SS-A/Ro ribonucleoprotein OS=Xenopus laevis GN=trove2 PE=1 SV=1
Ostrea_lur_contig17139	Q28F51	5.00E-112	TADBP_XENTR TAR DNA-binding protein 43 OS=Xenopus tropicalis GN=tardbp PE=2 SV=1
Ostrea_lur_contig1714	A2RT62	3.00E-05	FXL16_MOUSE F-box/LRR-repeat protein 16 OS=Mus musculus GN=Fbxl16 PE=2 SV=1
Ostrea_lur_contig17142	Q8BTH6	6.00E-61	SCRT2_MOUSE Transcriptional repressor scratch 2 OS=Mus musculus GN=Scrt2 PE=2 SV=2
Ostrea_lur_contig17144	O46680	5.00E-74	TGFR1_BOVIN TGF-beta receptor type-1 OS=Bos taurus GN=TGFBR1 PE=2 SV=1
Ostrea_lur_contig17145	Q8WWF8	3.00E-69	CAPSL_HUMAN Calcyphosin-like protein OS=Homo sapiens GN=CAPSL PE=2 SV=3
Ostrea_lur_contig17149	Q8K1E6	2.00E-30	ALKB3_MOUSE Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 OS=Mus musculus GN=Alkbh3 PE=1 SV=1
Ostrea_lur_contig17165	Q9P785	3.00E-06	YNY5_SCHPO LisH domain-containing protein C1711.05 OS=Schizosaccharomyces pombe GN=SPBC1711.05 PE=2 SV=1
Ostrea_lur_contig17169	P05183	1.00E-124	CP3A2_RAT Cytochrome P450 3A2 OS=Rattus norvegicus GN=Cyp3a2 PE=1 SV=2
Ostrea_lur_contig17170	Q28623	6.00E-21	SLMAP_RABIT Sarcolemmal membrane-associated protein OS=Oryctolagus cuniculus GN=SLMAP PE=1 SV=2
Ostrea_lur_contig17179	Q9Y2K3	1.00E-09	MYH15_HUMAN Myosin-15 OS=Homo sapiens GN=MYH15 PE=1 SV=4
Ostrea_lur_contig1718	Q5TZA2	2.00E-129	CROCC_HUMAN Rootletin OS=Homo sapiens GN=CROCC PE=1 SV=1
Ostrea_lur_contig17181	Q9BZE9	5.00E-38	ASPC1_HUMAN Tether containing UBX domain for GLUT4 OS=Homo sapiens GN=ASPSCR1 PE=1 SV=1
Ostrea_lur_contig17182	O88487	1.00E-06	DC1I2_MOUSE Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus GN=Dync1i2 PE=2 SV=1
Ostrea_lur_contig17188	O28987	4.00E-48	Y1281_ARCFU Uncharacterized protein AF_1281 OS=Archaeoglobus fulgidus GN=AF_1281 PE=3 SV=1
Ostrea_lur_contig17189	Q80UP3	2.00E-35	DGKZ_MOUSE Diacylglycerol kinase zeta OS=Mus musculus GN=Dgkz PE=1 SV=1
Ostrea_lur_contig17190	P24485	1.00E-11	CD53_RAT Leukocyte surface antigen CD53 OS=Rattus norvegicus GN=Cd53 PE=1 SV=3
Ostrea_lur_contig17191	Q8BM92	4.00E-08	CADH7_MOUSE Cadherin-7 OS=Mus musculus GN=Cdh7 PE=2 SV=1
Ostrea_lur_contig17192	Q7ZYH1	5.00E-30	SIN1_XENLA Target of rapamycin complex 2 subunit MAPKAP1 OS=Xenopus laevis GN=mapkap1 PE=2 SV=1
Ostrea_lur_contig17193	P0C1X8	9.00E-10	AAK1_RAT AP2-associated protein kinase 1 OS=Rattus norvegicus GN=Aak1 PE=1 SV=1
Ostrea_lur_contig17196	Q86Z23	9.00E-08	C1QL4_HUMAN Complement C1q-like protein 4 OS=Homo sapiens GN=C1QL4 PE=2 SV=1
Ostrea_lur_contig17197	Q6NYU7	1.00E-68	UPP_DANRE Uracil phosphoribosyltransferase OS=Danio rerio GN=uprt PE=2 SV=1
Ostrea_lur_contig172	Q2TA16	1.00E-95	CCD65_BOVIN Coiled-coil domain-containing protein 65 OS=Bos taurus GN=CCDC65 PE=2 SV=1
Ostrea_lur_contig1720	Q99MR0	1.00E-99	ACL6B_MOUSE Actin-like protein 6B OS=Mus musculus GN=Actl6b PE=1 SV=1
Ostrea_lur_contig17200	Q99K82	4.00E-07	SMOX_MOUSE Spermine oxidase OS=Mus musculus GN=Smox PE=1 SV=1
Ostrea_lur_contig17202	Q17GZ9	1.00E-58	ARP5_AEDAE Actin-related protein 5 OS=Aedes aegypti GN=Arp5 PE=3 SV=1
Ostrea_lur_contig1721	Q0IHH1	2.00E-82	MAK3_XENLA N-acetyltransferase MAK3 homolog OS=Xenopus laevis GN=nat12 PE=2 SV=1
Ostrea_lur_contig17210	O60671	2.00E-72	RAD1_HUMAN Cell cycle checkpoint protein RAD1 OS=Homo sapiens GN=RAD1 PE=1 SV=1
Ostrea_lur_contig17213	Q96L58	1.00E-91	"B3GT6_HUMAN Beta-1,3-galactosyltransferase 6 OS=Homo sapiens GN=B3GALT6 PE=2 SV=2"
Ostrea_lur_contig1722	Q71RQ1	2.00E-09	STAA_TRIST Stejaggregin-A subunit alpha OS=Trimeresurus stejnegeri PE=2 SV=1
Ostrea_lur_contig17230	Q8R2Y3	9.00E-33	DOLK_MOUSE Dolichol kinase OS=Mus musculus GN=Dolk PE=2 SV=1
Ostrea_lur_contig17239	Q8NF91	3.00E-17	SYNE1_HUMAN Nesprin-1 OS=Homo sapiens GN=SYNE1 PE=1 SV=3
Ostrea_lur_contig17240	Q9PTL2	4.00E-20	SPY2_CHICK Protein sprouty homolog 2 OS=Gallus gallus GN=SPRY2 PE=2 SV=1
Ostrea_lur_contig17242	P63034	2.00E-20	CYH2_MOUSE Cytohesin-2 OS=Mus musculus GN=Cyth2 PE=1 SV=1
Ostrea_lur_contig17247	Q8R5L3	1.00E-29	VPS39_MOUSE Vam6/Vps39-like protein OS=Mus musculus GN=Vps39 PE=2 SV=1
Ostrea_lur_contig17249	Q64512	1.00E-10	PTN13_MOUSE Tyrosine-protein phosphatase non-receptor type 13 OS=Mus musculus GN=Ptpn13 PE=1 SV=2
Ostrea_lur_contig17251	O08658	1.00E-23	NUP88_RAT Nuclear pore complex protein Nup88 OS=Rattus norvegicus GN=Nup88 PE=1 SV=1
Ostrea_lur_contig17252	Q05737	3.00E-28	YPTM2_MAIZE GTP-binding protein YPTM2 OS=Zea mays GN=YPTM2 PE=2 SV=1
Ostrea_lur_contig17254	B0R0T1	0	K0564_DANRE Uncharacterized protein KIAA0564 homolog OS=Danio rerio GN=si:dkey-18l1.1 PE=4 SV=1
Ostrea_lur_contig17256	Q80SY4	2.00E-145	MIB1_MOUSE E3 ubiquitin-protein ligase MIB1 OS=Mus musculus GN=Mib1 PE=1 SV=1
Ostrea_lur_contig17261	P27765	7.00E-33	AMID_PSECL Amidase OS=Pseudomonas chlororaphis PE=1 SV=3
Ostrea_lur_contig17262	Q2YDM7	2.00E-102	LSG1_BOVIN Large subunit GTPase 1 homolog OS=Bos taurus GN=LSG1 PE=2 SV=1
Ostrea_lur_contig17263	Q4V862	1.00E-11	CDK9A_XENLA Cell division protein kinase 9-A OS=Xenopus laevis GN=cdk9-A PE=2 SV=1
Ostrea_lur_contig17264	Q8C8H8	2.00E-11	KY_MOUSE Kyphoscoliosis peptidase OS=Mus musculus GN=Ky PE=1 SV=1
Ostrea_lur_contig17266	Q6DBY0	2.00E-138	NUP85_DANRE Nucleoporin NUP85 OS=Danio rerio GN=nup85 PE=2 SV=1
Ostrea_lur_contig17267	Q5XFY4	3.00E-28	BCL7A_DANRE B-cell CLL/lymphoma 7 protein family member A OS=Danio rerio GN=bcl7a PE=2 SV=1
Ostrea_lur_contig17268	Q62074	1.00E-82	KPCI_MOUSE Protein kinase C iota type OS=Mus musculus GN=Prkci PE=1 SV=3
Ostrea_lur_contig17273	Q149F1	2.00E-11	RUSD2_MOUSE RNA pseudouridylate synthase domain-containing protein 2 OS=Mus musculus GN=Rpusd2 PE=2 SV=2
Ostrea_lur_contig17275	B6CZ61	1.00E-52	LRC51_RAT Leucine-rich repeat-containing protein 51 OS=Rattus norvegicus GN=Lrrc51 PE=2 SV=1
Ostrea_lur_contig17278	O46036	8.00E-141	CTBP_DROME C-terminal-binding protein OS=Drosophila melanogaster GN=CtBP PE=1 SV=3
Ostrea_lur_contig1728	Q5VT06	3.00E-31	CE350_HUMAN Centrosome-associated protein 350 OS=Homo sapiens GN=CEP350 PE=1 SV=1
Ostrea_lur_contig17280	P97868	1.00E-24	RBBP6_MOUSE Retinoblastoma-binding protein 6 OS=Mus musculus GN=Rbbp6 PE=1 SV=5
Ostrea_lur_contig17282	Q8BW94	0	"DYH3_MOUSE Dynein heavy chain 3, axonemal OS=Mus musculus GN=Dnah3 PE=1 SV=2"
Ostrea_lur_contig17285	Q8BPN8	1.00E-139	DMXL2_MOUSE DmX-like protein 2 OS=Mus musculus GN=Dmxl2 PE=1 SV=3
Ostrea_lur_contig17287	Q03046	2.00E-16	CEFD_NOCLA Isopenicillin N epimerase OS=Nocardia lactamdurans GN=cefD PE=3 SV=1
Ostrea_lur_contig1729	P56941	0	NPC1_PIG Niemann-Pick C1 protein OS=Sus scrofa GN=NPC1 PE=2 SV=1
Ostrea_lur_contig17291	Q4R5P6	2.00E-50	DC1L2_MACFA Cytoplasmic dynein 1 light intermediate chain 2 OS=Macaca fascicularis GN=DYNC1LI2 PE=2 SV=1
Ostrea_lur_contig17293	Q29PG4	6.00E-12	"RM51_DROPS 39S ribosomal protein L51, mitochondrial OS=Drosophila pseudoobscura pseudoobscura GN=mRpL51 PE=3 SV=1"
Ostrea_lur_contig1730	Q28024	3.00E-09	GBG12_BOVIN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Bos taurus GN=GNG12 PE=1 SV=2
Ostrea_lur_contig17301	Q9HGM9	1.00E-06	DNJC7_SCHPO DnaJ homolog subfamily C member 7 homolog OS=Schizosaccharomyces pombe GN=SPBC543.02c PE=2 SV=1
Ostrea_lur_contig17305	O14522	5.00E-42	PTPRT_HUMAN Receptor-type tyrosine-protein phosphatase T OS=Homo sapiens GN=PTPRT PE=1 SV=5
Ostrea_lur_contig17310	P51658	6.00E-53	DHB2_MOUSE Estradiol 17-beta-dehydrogenase 2 OS=Mus musculus GN=Hsd17b2 PE=2 SV=2
Ostrea_lur_contig17313	Q9P2F9	5.00E-09	ZN319_HUMAN Zinc finger protein 319 OS=Homo sapiens GN=ZNF319 PE=1 SV=2
Ostrea_lur_contig17319	O75140	3.00E-15	DEPD5_HUMAN DEP domain-containing protein 5 OS=Homo sapiens GN=DEPDC5 PE=2 SV=1
Ostrea_lur_contig1732	Q5F201	0	WDR16_MOUSE WD repeat-containing protein 16 OS=Mus musculus GN=Wdr16 PE=2 SV=1
Ostrea_lur_contig17325	O46629	2.00E-71	"ECHB_BOVIN Trifunctional enzyme subunit beta, mitochondrial OS=Bos taurus GN=HADHB PE=2 SV=1"
Ostrea_lur_contig17326	O75382	9.00E-17	TRIM3_HUMAN Tripartite motif-containing protein 3 OS=Homo sapiens GN=TRIM3 PE=1 SV=2
Ostrea_lur_contig17332	P49336	2.00E-68	CDK8_HUMAN Cell division protein kinase 8 OS=Homo sapiens GN=CDK8 PE=1 SV=1
Ostrea_lur_contig17335	P42648	2.00E-06	14331_ENTHI 14-3-3 protein 1 OS=Entamoeba histolytica PE=3 SV=1
Ostrea_lur_contig17340	Q54F25	2.00E-11	CLN3_DICDI Battenin OS=Dictyostelium discoideum GN=cln3 PE=3 SV=1
Ostrea_lur_contig17344	Q5ZLG9	3.00E-62	WDR59_CHICK WD repeat-containing protein 59 OS=Gallus gallus GN=WDR59 PE=2 SV=1
Ostrea_lur_contig17346	Q8MZC4	5.00E-21	CRLS1_DROME Probable cardiolipin synthetase OS=Drosophila melanogaster GN=CG4774 PE=2 SV=1
Ostrea_lur_contig17351	A8WH18	0	NARFL_XENTR Cytosolic Fe-S cluster assembly factor narfl OS=Xenopus tropicalis GN=narfl PE=2 SV=1
Ostrea_lur_contig17353	P21894	0	"SYAC_BOMMO Alanyl-tRNA synthetase, cytoplasmic OS=Bombyx mori PE=1 SV=1"
Ostrea_lur_contig17355	Q28987	1.00E-07	CYTA8_PIG Cystatin-A8 OS=Sus scrofa PE=3 SV=1
Ostrea_lur_contig17360	P22307	7.00E-34	NLTP_HUMAN Non-specific lipid-transfer protein OS=Homo sapiens GN=SCP2 PE=1 SV=2
Ostrea_lur_contig17375	Q9ULJ7	9.00E-17	ANR50_HUMAN Ankyrin repeat domain-containing protein 50 OS=Homo sapiens GN=ANKRD50 PE=1 SV=4
Ostrea_lur_contig1738	Q9C0G6	1.00E-60	"DYH6_HUMAN Dynein heavy chain 6, axonemal OS=Homo sapiens GN=DNAH6 PE=1 SV=3"
Ostrea_lur_contig17382	Q8IYE1	6.00E-84	CCD13_HUMAN Coiled-coil domain-containing protein 13 OS=Homo sapiens GN=CCDC13 PE=2 SV=2
Ostrea_lur_contig17385	Q1JQD7	5.00E-155	MOCS1_BOVIN Molybdenum cofactor biosynthesis protein 1 OS=Bos taurus GN=MOCS1 PE=2 SV=2
Ostrea_lur_contig17387	Q567I9	2.00E-71	CB5D1_DANRE Cytochrome b5 domain-containing protein 1 OS=Danio rerio GN=cyb5d1 PE=2 SV=1
Ostrea_lur_contig17388	Q8QZZ7	7.00E-38	TPRKB_MOUSE TP53RK-binding protein OS=Mus musculus GN=Tprkb PE=2 SV=1
Ostrea_lur_contig17391	Q29RZ2	0	PPWD1_BOVIN Peptidylprolyl isomerase domain and WD repeat-containing protein 1 OS=Bos taurus GN=PPWD1 PE=2 SV=1
Ostrea_lur_contig17392	Q9BX10	3.00E-64	GTPB2_HUMAN GTP-binding protein 2 OS=Homo sapiens GN=GTPBP2 PE=2 SV=1
Ostrea_lur_contig17394	Q86YQ8	1.00E-38	CPNE8_HUMAN Copine-8 OS=Homo sapiens GN=CPNE8 PE=1 SV=2
Ostrea_lur_contig1740	Q3MID2	1.00E-22	CP4F3_RAT Leukotriene-B(4) omega-hydroxylase 2 OS=Rattus norvegicus GN=Cyp4f3 PE=2 SV=1
Ostrea_lur_contig17400	Q3SWT4	1.00E-92	IWS1_RAT Protein IWS1 homolog OS=Rattus norvegicus GN=Iws1 PE=2 SV=1
Ostrea_lur_contig17401	Q49B93	3.00E-06	SC5AC_MOUSE Sodium-coupled monocarboxylate transporter 2 OS=Mus musculus GN=Slc5a12 PE=1 SV=1
Ostrea_lur_contig17403	O95400	5.00E-51	CD2B2_HUMAN CD2 antigen cytoplasmic tail-binding protein 2 OS=Homo sapiens GN=CD2BP2 PE=1 SV=1
Ostrea_lur_contig17404	Q17QJ7	2.00E-85	P5CR2_BOVIN Pyrroline-5-carboxylate reductase 2 OS=Bos taurus GN=PYCR2 PE=2 SV=1
Ostrea_lur_contig17405	Q26544	4.00E-06	WSL17_SCHMA WD repeat-containing protein SL1-17 OS=Schistosoma mansoni PE=2 SV=1
Ostrea_lur_contig17407	Q9GMT4	3.00E-25	MDGA2_MACFA MAM domain-containing glycosylphosphatidylinositol anchor protein 2 (Fragment) OS=Macaca fascicularis GN=MDGA2 PE=2 SV=2
Ostrea_lur_contig17408	P02712	2.00E-06	ACHB_TORCA Acetylcholine receptor subunit beta OS=Torpedo californica GN=CHRNB1 PE=1 SV=1
Ostrea_lur_contig1741	P18426	2.00E-22	SCR11_OMMSL S-crystallin SL11 OS=Ommastrephes sloanei PE=2 SV=1
Ostrea_lur_contig17410	Q32L99	4.00E-48	PTGR2_BOVIN Prostaglandin reductase 2 OS=Bos taurus GN=PTGR2 PE=2 SV=1
Ostrea_lur_contig17412	Q5ZJH5	1.00E-33	WDR61_CHICK WD repeat-containing protein 61 OS=Gallus gallus GN=WDR61 PE=2 SV=1
Ostrea_lur_contig17414	Q62318	5.00E-12	TIF1B_MOUSE Transcription intermediary factor 1-beta OS=Mus musculus GN=Trim28 PE=1 SV=3
Ostrea_lur_contig17418	Q17237	9.00E-46	SGF3_BOMMO Silk gland factor 3 OS=Bombyx mori GN=SGF3 PE=2 SV=1
Ostrea_lur_contig17419	Q95K79	3.00E-141	ALKB8_MACFA Alkylated DNA repair protein alkB homolog 8 OS=Macaca fascicularis GN=ALKBH8 PE=2 SV=1
Ostrea_lur_contig17423	Q9CWU9	3.00E-16	NUP37_MOUSE Nucleoporin Nup37 OS=Mus musculus GN=Nup37 PE=2 SV=1
Ostrea_lur_contig17427	Q5SYL3	7.00E-06	K0100_MOUSE UPF0378 protein KIAA0100 OS=Mus musculus GN=Kiaa0100 PE=2 SV=1
Ostrea_lur_contig17431	Q4UMH6	5.00E-18	Y381_RICFE Putative ankyrin repeat protein RF_0381 OS=Rickettsia felis GN=RF_0381 PE=4 SV=1
Ostrea_lur_contig17433	O54826	8.00E-20	AF10_MOUSE Protein AF-10 OS=Mus musculus GN=Mllt10 PE=1 SV=1
Ostrea_lur_contig17435	Q503M4	1.00E-20	MT12B_DANRE Monocarboxylate transporter 12-B OS=Danio rerio GN=slc16a12b PE=2 SV=1
Ostrea_lur_contig17437	Q3URY6	1.00E-65	ARMC2_MOUSE Armadillo repeat-containing protein 2 OS=Mus musculus GN=Armc2 PE=2 SV=3
Ostrea_lur_contig17439	P56960	1.00E-76	EXOSX_MOUSE Exosome component 10 OS=Mus musculus GN=Exosc10 PE=1 SV=1
Ostrea_lur_contig1744	O94889	3.00E-53	KLH18_HUMAN Kelch-like protein 18 OS=Homo sapiens GN=KLHL18 PE=2 SV=3
Ostrea_lur_contig17447	Q32NH8	2.00E-06	"PLCD4_XENLA 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-4 OS=Xenopus laevis GN=plcd4 PE=2 SV=1"
Ostrea_lur_contig17451	P58058	2.00E-102	NADK_MOUSE NAD kinase OS=Mus musculus GN=Nadk PE=1 SV=1
Ostrea_lur_contig17453	Q6DDP3	2.00E-29	ENPP6_XENLA Ectonucleotide pyrophosphatase/phosphodiesterase family member 6 OS=Xenopus laevis GN=enpp6 PE=2 SV=1
Ostrea_lur_contig17454	Q920R6	3.00E-40	VPP4_MOUSE V-type proton ATPase 116 kDa subunit a isoform 4 OS=Mus musculus GN=Atp6v0a4 PE=2 SV=1
Ostrea_lur_contig17455	O60341	0	KDM1_HUMAN Lysine-specific histone demethylase 1 OS=Homo sapiens GN=KDM1 PE=1 SV=2
Ostrea_lur_contig17457	Q7LFX5	4.00E-09	CHSTF_HUMAN Carbohydrate sulfotransferase 15 OS=Homo sapiens GN=CHST15 PE=1 SV=1
Ostrea_lur_contig17458	P54729	3.00E-89	NUB1_MOUSE NEDD8 ultimate buster 1 OS=Mus musculus GN=Nub1 PE=1 SV=2
Ostrea_lur_contig1746	Q8R4H2	5.00E-31	ARHGC_MOUSE Rho guanine nucleotide exchange factor 12 OS=Mus musculus GN=Arhgef12 PE=1 SV=1
Ostrea_lur_contig17460	Q91145	6.00E-16	COCA1_NOTVI Collagen alpha-1(XII) chain (Fragment) OS=Notophthalmus viridescens PE=2 SV=1
Ostrea_lur_contig17463	Q5VYJ5	2.00E-26	CJ112_HUMAN MAM and LDL-receptor class A domain-containing protein C10orf112 OS=Homo sapiens GN=C10orf112 PE=2 SV=3
Ostrea_lur_contig17467	Q9JLC8	2.00E-18	SACS_MOUSE Sacsin OS=Mus musculus GN=Sacs PE=1 SV=2
Ostrea_lur_contig1747	Q7SY29	2.00E-78	SPX2_DANRE Sugar phosphate exchanger 2 OS=Danio rerio GN=slc37a2 PE=2 SV=1
Ostrea_lur_contig17473	Q76LL6	2.00E-20	FHOD3_MOUSE FH1/FH2 domain-containing protein 3 OS=Mus musculus GN=Fhod3 PE=2 SV=1
Ostrea_lur_contig17476	Q6ZR37	3.00E-59	PKHG7_HUMAN Pleckstrin homology domain-containing family G member 7 OS=Homo sapiens GN=PLEKHG7 PE=2 SV=1
Ostrea_lur_contig1748	Q40302	3.00E-37	CALM_MACPY Calmodulin OS=Macrocystis pyrifera PE=2 SV=3
Ostrea_lur_contig17480	Q28FI8	1.00E-66	CB5D2_XENTR Cytochrome b5 domain-containing protein 2 OS=Xenopus tropicalis GN=cyb5d2 PE=2 SV=1
Ostrea_lur_contig17481	Q9D1I5	2.00E-66	"MCEE_MOUSE Methylmalonyl-CoA epimerase, mitochondrial OS=Mus musculus GN=Mcee PE=2 SV=1"
Ostrea_lur_contig17482	P50591	2.00E-07	TNF10_HUMAN Tumor necrosis factor ligand superfamily member 10 OS=Homo sapiens GN=TNFSF10 PE=1 SV=1
Ostrea_lur_contig17483	Q9PFB2	6.00E-08	Y766_XYLFA UPF0394 membrane protein XF_0766 OS=Xylella fastidiosa GN=XF_0766 PE=2 SV=1
Ostrea_lur_contig17486	P15215	1.00E-36	LAMC1_DROME Laminin subunit gamma-1 OS=Drosophila melanogaster GN=LanB2 PE=1 SV=2
Ostrea_lur_contig1749	Q10743	9.00E-149	ADA10_RAT Disintegrin and metalloproteinase domain-containing protein 10 (Fragment) OS=Rattus norvegicus GN=Adam10 PE=2 SV=1
Ostrea_lur_contig17490	Q6BP84	4.00E-16	FKBP2_DEBHA FK506-binding protein 2 OS=Debaryomyces hansenii GN=FPR2 PE=3 SV=2
Ostrea_lur_contig17491	Q9NQ55	4.00E-103	SSF1_HUMAN Suppressor of SWI4 1 homolog OS=Homo sapiens GN=PPAN PE=1 SV=1
Ostrea_lur_contig17496	Q8BJZ4	1.00E-68	"RT35_MOUSE 28S ribosomal protein S35, mitochondrial OS=Mus musculus GN=Mrps35 PE=2 SV=2"
Ostrea_lur_contig17499	Q8N9S9	2.00E-05	SNX31_HUMAN Sorting nexin-31 OS=Homo sapiens GN=SNX31 PE=2 SV=3
Ostrea_lur_contig175	Q6QUW1	5.00E-88	RGP51_LYMST Retrograde protein of 51 kDa OS=Lymnaea stagnalis GN=RGP51 PE=1 SV=1
Ostrea_lur_contig1750	Q3ZBH0	0	TCPB_BOVIN T-complex protein 1 subunit beta OS=Bos taurus GN=CCT2 PE=2 SV=3
Ostrea_lur_contig17502	Q13823	1.00E-131	NOG2_HUMAN Nucleolar GTP-binding protein 2 OS=Homo sapiens GN=GNL2 PE=1 SV=1
Ostrea_lur_contig17503	Q9NUL7	6.00E-41	DDX28_HUMAN Probable ATP-dependent RNA helicase DDX28 OS=Homo sapiens GN=DDX28 PE=2 SV=1
Ostrea_lur_contig17506	A2VE78	4.00E-15	FBXL5_BOVIN F-box/LRR-repeat protein 5 OS=Bos taurus GN=FBXL5 PE=2 SV=1
Ostrea_lur_contig17507	Q86YH6	8.00E-33	DLP1_HUMAN Decaprenyl-diphosphate synthase subunit 2 OS=Homo sapiens GN=PDSS2 PE=1 SV=2
Ostrea_lur_contig17509	Q5SSH7	4.00E-13	ZZEF1_MOUSE Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Mus musculus GN=Zzef1 PE=1 SV=2
Ostrea_lur_contig17513	Q13136	2.00E-131	LIPA1_HUMAN Liprin-alpha-1 OS=Homo sapiens GN=PPFIA1 PE=1 SV=1
Ostrea_lur_contig17515	Q569L8	2.00E-73	CENPJ_MOUSE Centromere protein J OS=Mus musculus GN=Cenpj PE=2 SV=1
Ostrea_lur_contig17517	Q505D1	1.00E-30	ANR28_MOUSE Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Mus musculus GN=Ankrd28 PE=1 SV=1
Ostrea_lur_contig17519	O14776	5.00E-07	TCRG1_HUMAN Transcription elongation regulator 1 OS=Homo sapiens GN=TCERG1 PE=1 SV=2
